ts_open,mode,dir,entry,actual_pnl,actual_reason,LADDER_pnl,LADDER_reason,RATCHET_pnl,RATCHET_reason
2026-07-02T08:10:02Z,TREND_V3_L,BUY,13350.2,-3.8,TREND_V3_FLATTEN_EXHAUSTION,-12.0,INIT_SL,0.0,SL
2026-07-03T06:30:02Z,EMA_PULLBACK_L,BUY,13370.0,0.45,BE_STOP_POST_SCALEOUT,5.849999999998545,LADDER_ASSESS_EXPIRED,0.0,SL
2026-07-06T06:05:01Z,EMA_PULLBACK_S,SELL,13338.6,0.65,BE_STOP_POST_SCALEOUT,2.149999999999636,LADDER_ASSESS_EXPIRED,0.0,SL
2026-07-06T07:00:01Z,EMA_PULLBACK_S,SELL,13333.4,-19.65,SL hit,-8.050000000001091,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-07-06T16:25:02Z,EMA_PULLBACK_L,BUY,13373.3,16.65,External/manual close detected (IG open positions),-0.6499999999978172,LADDER_ASSESS_EXPIRED,16.450000000000728,FLAT_2040
2026-07-06T16:25:02Z,TREND_V3_L,BUY,13373.2,10.45,TP hit,-0.5499999999992724,LADDER_ASSESS_EXPIRED,16.549999999999272,FLAT_2040
2026-07-06T17:45:01Z,TREND_V3_L,BUY,13383.5,-1.9,TREND_V3_FLATTEN_EXHAUSTION,11.349999999998545,LADDER_ASSESS_EXPIRED,6.25,FLAT_2040
2026-07-06T18:15:02Z,TREND_V3_L,BUY,13382.5,10.45,TP hit,12.349999999998545,LADDER_ASSESS_EXPIRED,7.25,FLAT_2040
2026-07-06T18:50:02Z,TREND_V3_L,BUY,13396.5,-5.6,IG_RECONCILE,-2.9500000000007276,LADDER_RATCHET_STOP,-6.75,FLAT_2040
2026-07-07T08:55:01Z,EMA_PULLBACK_L,BUY,13390.5,-19.6,STRUCTURE_EXIT:structure_flip_down: last_close=13371.75000 < prior_5_low=13380.55000_ pnl=-19.0p,-12.0,INIT_SL,-12.0,SL
2026-07-07T11:25:01Z,EMA_PULLBACK_L,BUY,13389.8,-11.7,STRUCTURE_EXIT:structure_flip_down: last_close=13379.05000 < prior_5_low=13381.25000_ pnl=-10.3p,-12.0,INIT_SL,-12.0,SL
2026-07-07T16:10:02Z,EMA_PULLBACK_S,SELL,13372.1,15.05,External/manual close detected (IG open positions),16.05000000000109,LADDER_ASSESS_EXPIRED,14.350000000000364,FLAT_2040
2026-07-08T09:00:01Z,EMA_PULLBACK_S,SELL,13345.11869,0.25,BE_STOP_POST_SCALEOUT,11.668689999998605,LADDER_RATCHET_STOP,0.0,SL
2026-07-08T09:10:01Z,TREND_V3_S,SELL,13328.5,-16.8,TREND_V3_FLATTEN_EXHAUSTION,-4.950000000000728,LADDER_REJECTION,-12.0,SL
2026-07-09T11:05:01Z,TREND_V3_L,BUY,13391.3,0.3,TREND_V3_REGIME_LEFT,11.25,LADDER_REJECTION,0.0,SL
2026-07-09T11:10:02Z,TREND_V3_L,BUY,13392.5,0.1,TREND_V3_REGIME_LEFT,10.049999999999272,LADDER_REJECTION,0.0,SL
2026-07-09T11:30:02Z,TREND_V3_L,BUY,13385.7,2.3,TREND_V3_REGIME_LEFT,16.849999999998545,LADDER_REJECTION,0.0,SL
2026-07-09T11:35:02Z,TREND_V3_L,BUY,13389.6,2.0,TREND_V3_REGIME_LEFT,12.949999999998909,LADDER_REJECTION,0.0,SL
2026-07-15T06:10:01Z,EMA_PULLBACK_L,BUY,13414.8,-12.7,STRUCTURE_EXIT:structure_flip_down: last_close=13402.55000 < prior_5_low=13402.75000_ pnl=-12.3p,2.150000000001455,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-07-15T11:55:01Z,TREND_V3_L,BUY,13409.4,1.6,TREND_V3_REGIME_LEFT,32.149999999999636,LADDER_ASSESS_EXPIRED,35.55000000000109,EXHAUSTION
2026-07-15T12:00:09Z,TREND_V3_L,BUY,13411.7,-4.0,IG_RECONCILE,29.849999999998545,LADDER_ASSESS_EXPIRED,33.25,EXHAUSTION
2026-07-15T12:05:04Z,TREND_V3_L,BUY,13408.8,-4.3,TREND_V3_REGIME_LEFT,32.75,LADDER_ASSESS_EXPIRED,36.150000000001455,EXHAUSTION
2026-07-15T12:10:00Z,EMA_PULLBACK_L,BUY,13405.1,30.35,TP hit,36.44999999999891,LADDER_ASSESS_EXPIRED,26.350000000000364,EXHAUSTION
2026-07-15T12:10:05Z,TREND_V3_L,BUY,13405.3,3.5,TREND_V3_REGIME_LEFT,36.25,LADDER_ASSESS_EXPIRED,26.150000000001455,EXHAUSTION
2026-07-15T12:15:03Z,TREND_V3_L,BUY,13409.3,-2.5,TREND_V3_REGIME_LEFT,32.25,LADDER_ASSESS_EXPIRED,35.650000000001455,EXHAUSTION
2026-07-15T12:55:01Z,TREND_V3_L,BUY,13425.5,2.4,TREND_V3_REGIME_LEFT,16.049999999999272,LADDER_ASSESS_EXPIRED,0.0,SL
2026-07-15T13:00:05Z,TREND_V3_L,BUY,13428.7,1.3,TREND_V3_FLATTEN_EXHAUSTION,12.849999999998545,LADDER_ASSESS_EXPIRED,111.64999999999782,EXHAUSTION
2026-07-15T14:35:01Z,EMA_PULLBACK_L,BUY,13447.19137,16.25,BE_STOP_POST_SCALEOUT,25.758630000000267,LADDER_RATCHET_STOP,93.15862999999808,EXHAUSTION
2026-07-15T14:50:01Z,TREND_V3_L,BUY,13474.4,17.45,TP hit,-1.4499999999989086,LADDER_RATCHET_STOP,65.94999999999891,EXHAUSTION
2026-07-15T15:55:02Z,TREND_V3_L,BUY,13498.5,16.15,TP hit,37.04999999999927,FLAT_2040,41.849999999998545,EXHAUSTION
2026-07-15T16:50:02Z,TREND_V3_L,BUY,13521.0,15.85,TP hit,14.549999999999272,FLAT_2040,19.349999999998545,EXHAUSTION
2026-07-15T17:05:02Z,TREND_V3_L,BUY,13536.4,3.6,TREND_V3_FLATTEN_EXHAUSTION,-0.8500000000003638,FLAT_2040,0.0,SL
2026-07-15T17:40:04Z,TREND_V3_L,BUY,13540.0,10.45,TP hit,-12.0,INIT_SL,0.0,SL
2026-07-15T18:05:01Z,TREND_V3_L,BUY,13552.3,-24.15,SL hit,-12.0,INIT_SL,-12.0,SL
2026-07-16T06:30:03Z,EMA_PULLBACK_L,BUY,13536.1,-10.5,STRUCTURE_EXIT:structure_flip_down: last_close=13528.95000 < prior_5_low=13533.45000_ pnl=-10.1p,-12.0,INIT_SL,-12.0,SL
2026-07-17T03:00:03Z,TREND_V3_S,SELL,13463.6,-4.8,TREND_V3_FLATTEN_EXHAUSTION,-3.749999999998181,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-07-17T08:35:01Z,EMA_PULLBACK_S,SELL,13450.9,7.65,BE_STOP_POST_SCALEOUT,2.4499999999989086,LADDER_RATCHET_STOP,0.0,SL
2026-07-17T09:10:01Z,TREND_V3_S,SELL,13442.6,0.3,TREND_V3_FLATTEN_EXHAUSTION,-12.0,INIT_SL,0.0,SL
2026-07-17T12:40:02Z,EMA_PULLBACK_S,SELL,13432.5,-12.15,SL hit,-12.0,INIT_SL,-12.0,SL
2026-07-20T02:55:01Z,TREND_V3_S,SELL,13461.0,2.2,TREND_V3_REGIME_LEFT,1.5499999999992724,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-07-20T03:25:01Z,TREND_V3_S,SELL,13459.1,-0.9,TREND_V3_REGIME_LEFT,-1.8500000000003638,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-07-20T04:45:01Z,TREND_V3_L,BUY,13467.4,-0.6,TREND_V3_FLATTEN_EXHAUSTION,9.649999999999636,LADDER_RATCHET_STOP,0.0,SL
2026-07-20T10:40:01Z,EMA_PULLBACK_L,BUY,13474.0,-11.65,SL hit,-5.349999999998545,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-07-20T15:15:01Z,TREND_V3_S,SELL,13419.5,-11.95,SL hit,-12.0,INIT_SL,-12.0,SL
2026-07-21T10:30:00Z,EMA_PULLBACK_S,SELL,13427.4,13.05,BE_STOP_POST_SCALEOUT,7.350000000000364,LADDER_ASSESS_EXPIRED,40.0,SL
2026-07-21T11:55:01Z,TREND_V3_S,SELL,13403.4,12.05,BE_STOP_POST_SCALEOUT,25.74999999999818,LADDER_RATCHET_STOP,15.0,SL
2026-07-21T12:45:02Z,TREND_V3_S,SELL,13387.5,21.85,BE_STOP_POST_SCALEOUT,9.849999999998545,LADDER_RATCHET_STOP,0.0,SL
2026-07-22T06:55:01Z,EMA_PULLBACK_S,SELL,13376.9,-11.45,SL hit,-12.0,INIT_SL,-12.0,SL
2026-07-22T09:30:02Z,EMA_PULLBACK_S,SELL,13369.7,-11.65,External/manual close detected (IG open positions),-0.25,LADDER_ASSESS_EXPIRED,0.0,SL
2026-07-24T07:15:03Z,TREND_V3_L,BUY,13337.9,-10.5,STRUCTURE_EXIT:structure_flip_down: last_close=13329.25000 < prior_5_low=13330.35000_ pnl=-10.1p,-12.0,INIT_SL,-12.0,SL
2026-07-28T13:10:02Z,TREND_V3_L,BUY,13300.8,-12.05,SL hit,-12.0,INIT_SL,-12.0,SL
2026-07-30T09:35:01Z,TREND_V3_L,BUY,13373.8,14.25,TP hit,6.650000000001455,LADDER_ASSESS_EXPIRED,15.0,SL
2026-07-30T10:45:01Z,TREND_V3_L,BUY,13398.6,-0.25,BE_STOP_POST_SCALEOUT,-5.550000000001091,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-07-31T11:55:01Z,TREND_V3_S,SELL,13419.0,1.35,BE_STOP_POST_SCALEOUT,-12.0,INIT_SL,-12.0,SL
2026-08-03T07:20:00Z,EMA_PULLBACK_S,SELL,13456.5,-11.25,SL hit,-12.0,INIT_SL,-12.0,SL
2026-08-03T14:15:01Z,EMA_PULLBACK_S,SELL,13445.1,16.05,TP hit,17.44999999999891,LADDER_ASSESS_EXPIRED,13.750000000001819,FLAT_2040
2026-08-05T08:20:01Z,EMA_PULLBACK_L,BUY,13467.5,-10.4,STRUCTURE_EXIT:structure_flip_down: last_close=13458.35000 < prior_5_low=13460.65000_ pnl=-10.0p,-12.0,INIT_SL,-12.0,SL
2026-08-05T12:05:01Z,TREND_V3_L,BUY,13480.8,-10.5,STRUCTURE_EXIT:structure_flip_down: last_close=13474.75000 < prior_5_low=13475.05000_ pnl=-10.0p,-12.0,INIT_SL,-12.0,SL
2026-08-05T14:45:01Z,EMA_PULLBACK_L,BUY,13477.8,-10.5,STRUCTURE_EXIT:structure_flip_down: last_close=13469.35000 < prior_5_low=13470.05000_ pnl=-10.0p,-1.0499999999992724,LADDER_RATCHET_STOP,-12.0,SL
2026-08-07T12:35:01Z,TREND_V3_S,SELL,13494.7,3.05,Breakeven stop hit (IG server-side),-12.0,INIT_SL,-12.0,SL
2026-08-07T12:40:01Z,TREND_V3_S,SELL,13494.3,-11.15,SL hit,-12.0,INIT_SL,-12.0,SL
2026-08-07T13:00:01Z,TREND_V3_S,SELL,13499.8,1.9,TREND_V3_REGIME_LEFT,2.349999999998545,LADDER_ASSESS_EXPIRED,0.0,SL
2026-08-07T13:15:01Z,EMA_PULLBACK_L,BUY,13503.4,-11.85,SL hit,-7.749999999998181,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-08-10T08:10:01Z,EMA_PULLBACK_L,BUY,13501.2,-10.8,STRUCTURE_EXIT:structure_flip_down: last_close=13492.15000 < prior_5_low=13493.35000_ pnl=-10.4p,2.149999999997817,LADDER_ASSESS_EXPIRED,6.349999999998545,FLAT_2040
2026-08-10T14:30:02Z,EMA_PULLBACK_L,BUY,13518.6,0.25,Breakeven stop hit (IG server-side),-2.0500000000010914,LADDER_RATCHET_STOP,0.0,SL
2026-08-11T07:40:01Z,EMA_PULLBACK_S,SELL,13496.8,-8.7,AUTO_K_PREMISE,-12.0,INIT_SL,-12.0,SL
2026-08-12T09:25:01Z,TREND_V3_L,BUY,13526.2,-11.75,SL hit,-12.0,INIT_SL,-12.0,SL
2026-08-12T15:30:06Z,EMA_PULLBACK_S,SELL,13506.2,5.25,FLOOR_STOP_POST_SCALEOUT,-3.4500000000007276,LADDER_RATCHET_STOP,13.549999999999272,FLAT_2040
2026-08-13T07:10:01Z,EMA_PULLBACK_S,SELL,13478.8,-6.4,AUTO_K_PREMISE,-4.950000000000728,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-08-14T08:05:02Z,TREND_V3_L,BUY,13516.3,32.75,External close (not initiated by this host),5.75,LADDER_ASSESS_EXPIRED,19.75,EXHAUSTION
2026-08-20T07:35:01Z,EMA_PULLBACK_L,BUY,13621.2,0.75,BE_STOP_POST_SCALEOUT,2.9500000000007276,LADDER_ASSESS_EXPIRED,26.25,EXHAUSTION
2026-08-20T08:00:03Z,EMA_PULLBACK_L,BUY,13624.8,4.75,FLOOR_STOP_POST_SCALEOUT,16.75,LADDER_ASSESS_EXPIRED,22.650000000001455,EXHAUSTION
2026-08-20T08:45:02Z,TREND_V3_L,BUY,13633.2,10.45,TP hit,8.349999999998545,LADDER_ASSESS_EXPIRED,0.0,SL
2026-08-20T12:10:02Z,TREND_V3_L,BUY,13627.2,0.85,BE_STOP_POST_SCALEOUT,-0.75,LADDER_RATCHET_STOP,0.0,SL
2026-08-21T13:10:02Z,EMA_PULLBACK_S,SELL,13639.1,-6.9,AUTO_K_PREMISE,2.750000000001819,LADDER_ASSESS_EXPIRED,0.0,SL
